"name","base","exec_date"
"21057-1602","SU21057RMFS","16-Feb-96"
"21058-1503","SU21058RMFS","15-Mar-96"
"21058-2903","SU21058RMFS","29-Mar-96"
"22019-0904","SU22019RMFS","09-Apr-96"
"22020-1503","SU22020RMFS","15-Mar-96"
"22020-1602","SU22020RMFS","16-Feb-96"
"22020-1904","SU22020RMFS","19-Apr-96"
"22021-2903","SU22021RMFS","29-Mar-96"
"22023-1203","SU22023RMFS","12-Mar-96"
"22023-1705","SU22023RMFS","17-May-96"
"22024-0207","SU22024RMFS","02-Jul-96"
"22024-0406","SU22024RMFS","04-Jun-96"
"22024-0705","SU22024RMFS","07-May-96"
"22024-0904","SU22024RMFS","09-Apr-96"
"22024-0907","SU22024RMFS","09-Jul-96"
"22024-1406","SU22024RMFS","14-Jun-96"
"22024-1607","SU22024RMFS","16-Jul-96"
"22024-2105","SU22024RMFS","21-May-96"
"22024-2304","SU22024RMFS","23-Apr-96"
"22024-2506","SU22024RMFS","25-Jun-96"
"22024-3004","SU22024RMFS","30-Apr-96"
"22027-0207","SU22027RMFS","02-Jul-96"
"22027-1607","SU22027RMFS","16-Jul-96"
"22028-1907","SU22028RMFS","19-Jul-96"
"22028-3105","SU22028RMFS","31-May-96"
"22032-0608","SU22032RMFS","06-Aug-96"
"22032-1607","SU22032RMFS","16-Jul-96"
"22034-2008","SU22034RMFS","20-Aug-96"
"22036-1009","SU22036RMFS","10-Sep-96"
"22036-1607","SU22036RMFS","16-Jul-96"
"22036-1709","SU22036RMFS","17-Sep-96"
"22036-2708","SU22036RMFS","27-Aug-96"
"22037-0309","SU22037RMFS","03-Sep-96"
"22038-0110","SU22038RMFS","01-Oct-96"
"22039-0608","SU22039RMFS","06-Aug-96"
"22039-0810","SU22039RMFS","08-Oct-96"
"22039-1510","SU22039RMFS","15-Oct-96"
"22040-2910","SU22040RMFS","29-Oct-96"
"22043-1911","SU22043RMFS","19-Nov-96"
"22044-0312","SU22044RMFS","03-Dec-96"
"22044-0511","SU22044RMFS","05-Nov-96"
"22045-1911","SU22045RMFS","19-Nov-96"
"22047-0312","SU22047RMFS","03-Dec-96"
"22047-0511","SU22047RMFS","05-Nov-96"
"22049-1911","SU22049RMFS","19-Nov-96"
"22051-2412","SU22051RMFS","24-Dec-96"
"22052-1401","SU22052RMFS","14-Jan-97"
